,0,1,2,3,4,5,countries,topics,tweet_clean
22,1.56e+18,2022-08-17 13:04:30+00:00,"Multiple explosions shook a #russianlosses military base in #Crimea on Tuesday, the latest in a spate of similar incidents on the occupied peninsula.
@KremlinRussia_E
#Srinagar_Kashmir
#ukraine
#Taiwan
https://t.co/kcF3X4tCJg", USA,0,0,United States,USA,Multiple explosions shook military base Tuesday latest spate similar incidents occupied peninsula
25,1.56e+18,2022-08-17 12:59:33+00:00,"This is not just about German policy versus Russia, but also - or especially - German policy versus Ukraine and the wider CEE. https://t.co/BaS0rFa1HC", USA,0,0,United States,USA,This German policy versus Russia also especially German policy versus Ukraine wider
27,1.56e+18,2022-08-17 12:59:28+00:00,"How emotional from the #UKRAINE swimmer who won gold medal 🥇 
He and his father got a week off from the war, we are so lucky people and praise to them #EuropeanChampionships", USA,0,0,United States,USA,emotional swimmer gold medal father week lucky people praise
29,1.56e+18,2022-08-17 12:59:17+00:00,"We've seen such photos a lot during the Syrian civil war. Now the same drama is in Europe!
-
A man cleans an apartment destroyed after Russian shelling in #Nikopol, #Ukraine !
-
#Ukraine #Syria Zelensky lviv https://t.co/RcXcozkykm", USA,0,0,United States,USA,seen photos Syrian civil drama Europe cleans apartment destroyed Russian shelling Zelensky lviv
30,1.56e+18,2022-08-17 12:58:14+00:00,"The West's outcry about #Abbas remarks is amusing, because they expect #Palestinians to just take over 70 years of #Israeli aggression and #apartheid without saying a word about it, while they can't seem to shut up about Russia attacking Ukraine.", USA,0,0,United States,USA,West outcry remarks amusing expect take years aggression without saying word seem shut Russia attacking Ukraine
35,1.56e+18,2022-08-17 12:58:05+00:00,Crimea ‘sabotage’ highlights Russia’s woes in Ukraine war https://t.co/12lVtXJn9j via @AJEnglish, USA,0,0,United States,USA,Crimea sabotage highlights Russias woes Ukraine
41,1.56e+18,2022-08-17 13:00:25+00:00,"The Washington Post found out what #Shoigu said to the head of the British Defense Ministry two weeks before the invasion of #Ukraine 
https://t.co/aNlTj2NmtV",Africa,0,0,Africa,Africa,Washington Post found said head British Defense Ministry weeks invasion
42,1.56e+18,2022-08-17 13:00:17+00:00,Check out this great #audiojungle item #Optimistic7 #addmusic #ukraine https://t.co/iNIHG91Now,Africa,0,0,Africa,Africa,Check great item
43,1.56e+18,2022-08-17 13:00:17+00:00,"Russia is a major diamond producer and earns billions of dollars from the gems that other nations say help finance its war in Ukraine. Now there is a growing push to officially label Russian exports as ""conflict diamonds."" https://t.co/3LvOzNWnCC https://t.co/8t23HmoAfM",Africa,33,108,Africa,Africa,Russia major diamond producer earns billions dollars gems nations help finance Ukraine growing push officially label Russian exports conflict diamonds
44,1.56e+18,2022-08-17 13:00:04+00:00,"The #democracy-autocracy divide will assume a higher profile as a result of Russia's war in Ukraine.

But it will be one of several structuring factors rather than the prime organizing basis of international relations, writes @YoungsRichard.

Read more ⤵️
https://t.co/PsV8SQNZuA",Africa,0,2,Africa,Africa,-autocracy divide assume higher profile result Russia Ukraine.But several structuring factors rather prime organizing basis international relations writes .Read
45,1.56e+18,2022-08-17 13:00:03+00:00,"A power struggle in Iraq intensifies, raising fears of new violence, Crimea ‘sabotage’ highlights Russia’s woes in Ukraine war; and more in Wednesday's Daily News Brief",Africa,0,0,Africa,Africa,power struggle Iraq intensifies raising fears violence Crimea sabotage highlights Russias woes Ukraine Wednesday Daily News Brief
51,1.56e+18,2022-08-17 13:00:03+00:00,"🗣️ #WPSWednesday: “A #gender analysis centers people—not the nation state, weapons, or equipment—when understanding security needs &amp; interventions for the purposes of providing support”

#Ukraine #Security @CoriFleser @AtlanticCouncil @OurSecureFuture
https://t.co/8XzjTHpV8I",Africa,0,0,Africa,Africa,analysis centers peoplenot nation state weapons equipmentwhen understanding security needs interventions purposes providing support
52,1.56e+18,2022-08-17 13:00:00+00:00,"Is the EU 🇪🇺 migration policy undermining the work to build global support for #Ukraine 🇺🇦? 

Read more in @molenasreddin's #DemocracyNotes blog on #Borders &amp; #Migration ⬇️
https://t.co/o1N4LO9Dif",Africa,0,0,Africa,Africa,migration policy undermining work build global support Read blog
